QueryIdx	HitIdx	Query Description	Query Cover	Per. Ident	Score (bits)	E-value	Match Description	Accession Link
1	1	ctg28985_1_0_3015_pos	99.90%	73.79%	1472	0.0	acyltransferase domain-containing protein [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBV8414405?report=genbank
1	2	ctg28985_1_0_3015_pos	99.70%	70.45%	1467	0.0	SDR family NAD(P)-dependent oxidoreductase [Prosthecobacter	https://www.ncbi.nlm.nih.gov/protein/WP_133793627?report=genbank
1	3	ctg28985_1_0_3015_pos	99.70%	73.54%	1467	0.0	acyltransferase domain-containing protein [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBV8351703?report=genbank
2	1	ctg2046_1_0_2844_pos	95.88%	58.65%	1001	0.0	type I polyketide synthase 14,	https://www.ncbi.nlm.nih.gov/protein/APD71597?report=genbank
2	2	ctg2046_1_0_2844_pos	94.51%	57.82%	1000	0.0	type I polyketide synthase, partial	https://www.ncbi.nlm.nih.gov/protein/WP_086883278?report=genbank
2	3	ctg2046_1_0_2844_pos	94.40%	57.51%	999	0.0	type I polyketide synthase [Streptomyces	https://www.ncbi.nlm.nih.gov/protein/WP_020866322?report=genbank
3	1	ctg7330_1_0_2682_neg	97.32%	60.02%	996	0.0	type I polyketide synthase 8	https://www.ncbi.nlm.nih.gov/protein/APD71591?report=genbank
3	2	ctg7330_1_0_2682_neg	97.09%	59.89%	994	0.0	type I polyketide synthase 14,	https://www.ncbi.nlm.nih.gov/protein/APD71620?report=genbank
3	3	ctg7330_1_0_2682_neg	97.65%	60.00%	991	0.0	type I polyketide synthase 6	https://www.ncbi.nlm.nih.gov/protein/APD71761?report=genbank
4	1	ctg1015_1_0_2178_pos	98.62%	77.72%	1113	0.0	MULTISPECIES: non-ribosomal peptide synthetase [Mycobacterium]	https://www.ncbi.nlm.nih.gov/protein/WP_036428742?report=genbank
4	2	ctg1015_1_0_2178_pos	98.62%	77.72%	1113	0.0	MbtB protein [Mycobacterium sp. H4Y]	https://www.ncbi.nlm.nih.gov/protein/ELR84585?report=genbank
4	3	ctg1015_1_0_2178_pos	98.62%	77.72%	1113	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/WP_225346081?report=genbank
5	1	ctg7801_1_0_2100_neg	92.43%	83.31%	1135	0.0	type I polyketide synthase [Hyphomicrobiales	https://www.ncbi.nlm.nih.gov/protein/MBO0717391?report=genbank
5	2	ctg7801_1_0_2100_neg	100.00%	76.14%	1109	0.0	type I polyketide synthase [Bradyrhizobium	https://www.ncbi.nlm.nih.gov/protein/WP_080703980?report=genbank
5	3	ctg7801_1_0_2100_neg	98.86%	55.59%	779	0.0	hypothetical protein ETSY2_09420, partial [Candidatus	https://www.ncbi.nlm.nih.gov/protein/ETX07748?report=genbank
6	1	ctg17_112_111877_113893_pos	100.00%	87.80%	1231	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU05367?report=genbank
6	2	ctg17_112_111877_113893_pos	100.00%	80.63%	1151	0.0	squalene--hopene cyclase [Acidobacteria bacterium] >gb|MBS1865238.1|	https://www.ncbi.nlm.nih.gov/protein/MBS1840130?report=genbank
6	3	ctg17_112_111877_113893_pos	100.00%	79.43%	1130	0.0	squalene--hopene cyclase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT50760?report=genbank
7	1	ctg17_118_118837_120850_pos	96.72%	71.67%	970	0.0	squalene synthase HpnC [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU75734?report=genbank
7	2	ctg17_118_118837_120850_pos	96.72%	72.48%	969	0.0	squalene synthase HpnC [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYT51726?report=genbank
7	3	ctg17_118_118837_120850_pos	95.37%	71.64%	969	0.0	squalene synthase HpnC [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYU79641?report=genbank
8	1	ctg76_15_15084_17088_pos	99.70%	96.24%	1324	0.0	squalene--hopene cyclase [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYK53813?report=genbank
8	2	ctg76_15_15084_17088_pos	99.70%	96.24%	1304	0.0	squalene--hopene cyclase [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYL36314?report=genbank
8	3	ctg76_15_15084_17088_pos	99.70%	96.09%	1301	0.0	squalene--hopene cyclase [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYJ66103?report=genbank
9	1	ctg40_56_57780_59769_neg	99.55%	89.71%	1248	0.0	squalene--hopene cyclase [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYL82806?report=genbank
9	2	ctg40_56_57780_59769_neg	99.55%	89.56%	1247	0.0	squalene--hopene cyclase [Verrucomicrobia bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYI83535?report=genbank
9	3	ctg40_56_57780_59769_neg	99.55%	89.26%	1242	0.0	squalene--hopene cyclase [Verrucomicrobia bacterium] >gb|PYK34652.1|	https://www.ncbi.nlm.nih.gov/protein/PYJ95100?report=genbank
10	1	ctg11091_1_0_4983_neg	97.65%	52.16%	1715	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBW4456089?report=genbank
10	2	ctg11091_1_0_4983_neg	97.05%	50.98%	1670	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/WP_158680250?report=genbank
10	3	ctg11091_1_0_4983_neg	97.53%	50.75%	1661	0.0	unnamed protein product [Nostoc sp.	https://www.ncbi.nlm.nih.gov/protein/WP_229496438?report=genbank
11	1	ctg15143_1_0_4224_neg	91.26%	59.03%	1589	0.0	hypothetical protein DMG11_12775, partial [Acidobacteria	https://www.ncbi.nlm.nih.gov/protein/PYS28404?report=genbank
11	2	ctg15143_1_0_4224_neg	97.94%	54.60%	1583	0.0	SDR family NAD(P)-dependent oxidoreductase [Fulvivirga	https://www.ncbi.nlm.nih.gov/protein/WP_202859109?report=genbank
