QueryIdx	HitIdx	Query Description	Query Cover	Per. Ident	Score (bits)	E-value	Match Description	Accession Link
1	1	ctg73070_1_0_4083_pos	89.49%	52.17%	1218	0.0	modular polyketide synthase [Streptomyces sp.	https://www.ncbi.nlm.nih.gov/protein/BAW35608?report=genbank
1	2	ctg73070_1_0_4083_pos	89.57%	53.92%	1212	0.0	SDR family NAD(P)-dependent oxidoreductase, partial	https://www.ncbi.nlm.nih.gov/protein/WP_167828418?report=genbank
1	3	ctg73070_1_0_4083_pos	94.64%	53.13%	1212	0.0	SDR family NAD(P)-dependent oxidoreductase, partial	https://www.ncbi.nlm.nih.gov/protein/WP_189742233?report=genbank
2	1	ctg82760_1_0_3807_pos	99.76%	72.66%	1908	0.0	FIG01038337: hypothetical protein [Olavius algarvensis	https://www.ncbi.nlm.nih.gov/protein/CAB1071350?report=genbank
2	2	ctg82760_1_0_3807_pos	99.92%	70.47%	1900	0.0	AMP-binding protein [Rhizobiaceae bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBL4731878?report=genbank
2	3	ctg82760_1_0_3807_pos	98.50%	70.62%	1873	0.0	AMP-binding protein [Rhizobiaceae bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBL4598498?report=genbank
3	1	ctg458_21_32685_38055_neg	84.63%	79.99%	2508	0.0	non-ribosomal peptide synthetase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYX33060?report=genbank
3	2	ctg458_21_32685_38055_neg	67.08%	77.87%	1910	0.0	non-ribosomal peptide synthetase [Acidobacteria bacterium]	https://www.ncbi.nlm.nih.gov/protein/PYX45976?report=genbank
5	1	ctg46808_1_0_4800_neg	98.69%	51.27%	1570	0.0	SDR family NAD(P)-dependent oxidoreductase [Anaerolineae	https://www.ncbi.nlm.nih.gov/protein/MBN1814014?report=genbank
5	2	ctg46808_1_0_4800_neg	98.00%	51.64%	1492	0.0	type I polyketide synthase [Polyangium	https://www.ncbi.nlm.nih.gov/protein/WP_136926455?report=genbank
5	3	ctg46808_1_0_4800_neg	96.38%	50.06%	1420	0.0	SDR family NAD(P)-dependent oxidoreductase [Anaerolineae	https://www.ncbi.nlm.nih.gov/protein/MBN1219684?report=genbank
6	1	ctg1257_19_21335_30323_pos	99.63%	89.66%	5247	0.0	SDR family oxidoreductase [Acidobacteriia bacterium]	https://www.ncbi.nlm.nih.gov/protein/MBZ5613222?report=genbank
6	2	ctg1257_19_21335_30323_pos	97.96%	80.00%	4632	0.0	SDR family NAD(P)-dependent oxidoreductase [Acidobacteriia	https://www.ncbi.nlm.nih.gov/protein/MBZ5664531?report=genbank
6	3	ctg1257_19_21335_30323_pos	98.26%	75.45%	4351	0.0	SDR family NAD(P)-dependent oxidoreductase [Acidobacteriia	https://www.ncbi.nlm.nih.gov/protein/MBZ5598619?report=genbank
7	1	ctg11343_1_0_8097_pos	92.25%	57.36%	2588	0.0	modular polyketide synthase [Streptomyces neyagawaensis]	https://www.ncbi.nlm.nih.gov/protein/BAW35658?report=genbank
7	2	ctg11343_1_0_8097_pos	92.22%	55.71%	2573	0.0	SDR family NAD(P)-dependent oxidoreductase [Streptomyces	https://www.ncbi.nlm.nih.gov/protein/WP_144383775?report=genbank
7	3	ctg11343_1_0_8097_pos	92.29%	56.39%	2536	0.0	SDR family NAD(P)-dependent oxidoreductase, partial	https://www.ncbi.nlm.nih.gov/protein/WP_228627005?report=genbank
8	1	ctg479_57_69688_73501_neg	97.95%	62.43%	1632	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBZ5683741?report=genbank
8	2	ctg479_57_69688_73501_neg	97.40%	50.74%	1227	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/MBV9482714?report=genbank
8	3	ctg479_57_69688_73501_neg	78.11%	51.90%	1033	0.0	amino acid adenylation domain-containing protein	https://www.ncbi.nlm.nih.gov/protein/WP_190569663?report=genbank
10	1	ctg535_1_0_3666_pos	95.17%	70.02%	1684	0.0	AMP-binding protein [Hyphomicrobium sp.]	https://www.ncbi.nlm.nih.gov/protein/MCC7250306?report=genbank
10	2	ctg535_1_0_3666_pos	95.66%	69.17%	1639	0.0	AMP-binding protein [Hyphomicrobium sp. CS1GBMeth3]	https://www.ncbi.nlm.nih.gov/protein/WP_072396301?report=genbank
10	3	ctg535_1_0_3666_pos	95.99%	68.39%	1637	0.0	FIG01038337: hypothetical protein [Olavius algarvensis	https://www.ncbi.nlm.nih.gov/protein/CAB1071350?report=genbank
